Country_Code,Country_Name,Continent,Population,people_fully_vaccinated,median_age,total_cases,total_deaths,life_expectancy,human_development_index,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,total_boosters,reproduction_rate
ABW,Aruba,North America,106459,32884.25233,41.2,21306.4472,142.3276398,76.29,0.690680851,13.085,7.452,35973.781,257.0275603,11.62,2423738.58,0.680694024
AFG,Afghanistan,Asia,41128772,723061.4592,18.6,122011.0715,4977.338772,64.83,0.511,2.581,1.337,1803.987,597.029,9.59,31379.60451,0.822851593
AGO,Angola,Africa,35588996,325527.2137,16.8,56850.80497,1143.634033,61.15,0.581,2.405,1.362,5819.495,276.045,3.94,38781.38695,0.56049728
AIA,Anguilla,North America,15877,399.1297591,28.9893617,1605.768454,4.777777778,81.88,0.759748936,8.170283688,5.18748227,15898.41201,282.7303163,7.264397163,55.26340326,0.748763427
ALB,Albania,Europe,2842318,127356.554,38,175928.4351,2275.651127,78.57,0.795,13.188,8.643,11803.431,304.195,10.08,13586.07537,0.811188811
AND,Andorra,Europe,79843,1542.322455,31.88829787,23705.44134,113.7863248,83.73,0.868,8.987312057,5.706230496,12983.7741,109.135,7.97,721.4996115,0.688927739
ARE,United Arab Emirates,Asia,9441138,1227965.67,34,610240.9005,1567.982129,77.97,0.89,1.144,0.526,67293.483,317.84,17.26,377871.4864,0.808764569
ARG,Argentina,South America,45510324,17746747.07,31.9,5372962.254,86117.59038,76.67,0.845,11.198,7.441,18933.907,191.032,5.5,12589596.19,0.765950349
ARM,Armenia,Asia,2780472,17828.73737,35.7,265382.9883,5281.808858,75.09,0.776,11.232,7.571,8787.58,341.01,7.11,352.8508159,0.697125097
ASM,American Samoa,Oceania,44295,7199755.97,32.46808511,2850.258741,11.72804973,73.74,0.690680851,7.353255319,6.484352837,15103.49141,283.75,7.990836879,2666112.438,0.782798128
ATG,Antigua and Barbuda,North America,93772,2471.215229,32.1,4225.039627,76.44988345,77.02,0.778,6.933,4.631,21490.943,191.511,13.17,7.644133644,0.412975913
AUS,Australia,Oceania,26177410,4333479.093,37.9,3713456.81,6611.553225,83.44,0.944,15.504,10.129,44648.71,107.791,5.07,2766549.053,0.875034965
AUT,Austria,Europe,8939617,531882.317,44.4,2299695.399,12803.43201,81.54,0.922,19.202,13.748,45436.686,145.183,6.35,336781.7203,0.84981352
AZE,Azerbaijan,Asia,10358078,1064109.816,32.4,463407.8664,5844.944056,73,0.756,6.018,3.871,15847.419,559.812,7.11,375974.5237,0.767443667
BDI,Burundi,Africa,12889583,750.1841492,17.5,23331.39705,9.102564103,61.58,0.433,2.562,1.504,702.225,293.068,6.05,3.888111888,0.621934732
BEL,Belgium,Europe,11655923,5075864.351,41.8,2238020.189,23367.94483,81.63,0.931,18.571,12.849,42658.576,114.898,4.29,4011906.956,0.900606061
BEN,Benin,Africa,13352864,34666.98757,18.8,15860.14141,108.3061383,61.77,0.545,3.244,1.942,2064.236,235.848,0.99,2787299.367,0.364087024
BFA,Burkina Faso,Africa,22673764,30762.50816,17.6,13471.05905,230.1833722,61.58,0.452,2.409,1.358,1703.102,269.048,2.42,2302551.651,0.474017094
BGD,Bangladesh,Asia,171186368,21466829.61,27.5,1215455.486,18476.18803,72.59,0.632,5.098,3.262,3523.984,298.003,8.38,7183108.537,0.78974359
BGR,Bulgaria,Europe,6781955,933205.4829,44.7,650697.6615,21354.30047,75.05,0.816,20.801,13.272,18563.307,424.688,5.81,90120.68401,0.819635093
BHR,Bahrain,Asia,1472237,426018.9588,32.4,344428.3559,976.4949495,77.29,0.852,2.372,1.387,43290.705,151.689,16.52,180446.1601,0.815881896
BHS,Bahamas,North America,409989,4916.559441,34.3,20375.99145,467.2478632,73.92,0.814,8.996,5.2,27717.847,235.954,13.17,584.0893551,0.716542347
BIH,Bosnia and Herzegovina,Europe,3233530,4803.981352,42.5,231299.0878,9616.20202,77.4,0.78,16.569,10.711,11713.895,329.635,10.08,111.1903652,0.834296814
BLR,Belarus,Europe,9534956,117792.6301,40.3,557081.4514,4069.441336,74.79,0.823,14.799,9.788,17167.967,443.129,5.18,54370.61616,0.621196581
BLZ,Belize,North America,405285,13083.08159,25,33324.27584,407.8275058,74.62,0.716,3.853,2.279,7824.362,176.957,17.11,1916.216783,0.651188811
BMU,Bermuda,North America,64207,1533.664336,28.9893617,7994.612277,77.42035742,82.59,0.656146809,8.170283688,5.18748227,50669.315,139.547,13,423.5874126,0.802527429
BOL,Bolivia,South America,12224114,1719334.349,25.4,585454.8143,14881.80264,71.51,0.718,6.704,4.393,6885.829,204.299,6.89,343975.7125,0.845159285
BRA,Brazil,South America,215313504,58708948.46,33.5,20036037.2,446247.4981,75.88,0.765,8.552,5.06,14103.452,177.961,8.11,26359233.95,0.868547009
BRB,Barbados,North America,281646,46165.35198,39.8,41114.07382,238.2820513,79.19,0.814,14.952,9.473,16978.068,170.05,13.57,630.5135975,0.627334887
BRN,Brunei,Asia,449002,27429.99534,32.4,91641.30847,60.15229215,75.86,0.838,4.591,2.382,71809.251,201.285,12.79,6256.525253,0.494141414
BWA,Botswana,Africa,2630300,35377.91531,25.8,166722.1865,1574.525253,69.59,0.735,3.941,2.242,15807.374,237.372,4.81,9193.569542,0.566060606
CAF,Central African Republic,Africa,5579148,43990.01865,18.3,10074.48019,83.17016317,53.28,0.397,3.655,2.251,661.24,435.727,6.1,3265.671329,0.279083139
CAN,Canada,North America,38454328,13032235.09,41.4,2195069.361,28217.81352,82.43,0.929,16.984,10.797,44017.591,105.599,7.37,6823363.071,0.841926962
CHE,Switzerland,Europe,8740471,7199755.97,43.1,1912398.103,9286.187257,83.78,0.955,18.436,12.644,57410.166,99.739,5.59,1736031.405,0.890559441
CHL,Chile,South America,19603736,8061002.068,35.4,2335850.06,35630.90132,80.18,0.851,11.087,6.938,22767.037,127.993,8.46,7555386.557,0.831080031
CHN,China,Asia,1425887360,56816435.12,38.7,16662550.6,25726.30614,76.91,0.761,10.641,5.929,15308.712,261.899,9.74,21647651.9,0.875975136
CIV,Cote d'Ivoire,Africa,28160548,136279.8967,18.7,53612.16783,483.4545455,57.78,0.538,2.933,1.582,3601.006,303.74,2.42,14899.51981,0.80996115
CMR,Cameroon,Africa,27914542,39724.02875,18.8,77440.78089,1255.34965,59.29,0.563,3.165,1.919,3364.926,244.661,7.2,6135.246309,0.382331002
COD,Democratic Republic of Congo,Africa,99010216,86869.42735,17,53700.1453,949.4786325,60.68,0.48,3.02,1.745,808.133,318.949,6.1,3592.238462,0.678352758
COG,Congo,Africa,5970430,3968.977467,19,15026.67599,233.6977467,64.57,0.574,3.402,2.063,4881.406,344.094,7.2,3951.462308,0.349440559
COL,Colombia,South America,51874028,4508713.604,32.2,3883775.387,91883.08392,77.29,0.767,7.646,4.312,13254.949,124.24,7.44,653600.5571,0.764980575
CPV,Cape Verde,Africa,593162,8203.006993,25.7,35308.16861,259.0536131,72.98,0.665,4.46,3.437,6222.554,182.219,2.42,2.42035742,0.748352758
CRI,Costa Rica,North America,5180836,174536.3901,33.6,569305.0101,5271.784771,80.28,0.81,9.468,5.694,15524.995,137.973,8.78,65472.5035,0.728694639
CUB,Cuba,North America,11212198,4409693.846,43.1,593840.8469,4661.982906,78.8,0.783,14.738,9.719,15898.41201,190.968,8.27,2814441.301,0.79955711
CYP,Cyprus,Europe,896007,57005.75291,37.3,260750.0389,618.7505828,80.98,0.887,13.416,8.563,32415.132,141.171,9.24,15333.04429,0.795664336
CZE,Czechia,Europe,10493990,3778119.375,43.3,2353886.268,26213.44099,79.38,0.9,19.027,11.58,32605.906,227.485,6.82,1959085.19,0.828913043
DEU,Germany,Europe,83369840,31010425.17,46.6,14321163.53,95046.60917,81.33,0.947,21.453,15.957,45229.245,156.139,8.31,21501658.65,0.884343434
DJI,Djibouti,Africa,1120851,8459.215229,25.4,10704.99922,130.0613831,67.11,0.524,4.213,2.38,2705.406,258.037,6.05,4741.75477,0.552812743
DNK,Denmark,Europe,5882259,375581.0839,42.3,1449679.54,3864.32634,80.9,0.94,19.677,12.325,46682.515,114.767,6.41,223625.6076,0.841763792
