Country_Code,passport,head_of_household,housing_choice,job,divorce_choice,bank_account,business_ownership,contract_signature,domestic_travel,international_travel,work_at_night,dangerous_job,industrial_job,remarry
ABW,1,1,1,1,0,1,1,0,1,1,1,1,1,1
AFG,0,1,1,1,0,1,1,0,1,0,0,0,0,0
AGO,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ALB,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,0,0,1,0,0,1,1,0,1,1,1,1,1,0
ARE,1,1,1,1,0,1,1,1,1,1,1,1,1,0
ARG,1,1,1,1,1,1,1,0,1,1,1,0,0,1
ARM,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ASM,1,1,1,1,1,1,1,0,0,1,1,1,0,1
ATG,0,1,1,1,1,1,1,0,1,1,1,1,1,1
AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AZE,1,1,1,1,1,1,1,1,1,1,0,0,0,1
BDI,1,0,1,1,1,1,1,0,1,1,1,1,1,0
BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEN,0,1,1,1,1,1,1,0,1,1,1,0,0,0
BFA,0,1,1,1,1,1,1,1,1,1,1,0,0,0
BGD,1,1,1,1,0,1,1,0,1,1,1,0,0,0
BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BHR,0,1,1,0,0,1,1,1,1,0,0,1,0,0
BHS,1,1,1,1,0,1,1,0,1,1,1,1,1,1
BIH,1,1,1,1,1,1,1,1,1,1,0,1,0,1
BLR,1,1,1,1,1,1,1,0,1,1,1,0,0,1
BLZ,1,1,1,1,1,1,1,0,0,1,1,1,0,1
BMU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
BRB,1,1,1,1,1,1,1,0,0,1,1,1,0,1
BRN,0,1,1,1,0,1,1,0,1,0,1,1,1,0
BWA,1,1,1,1,1,1,1,0,0,1,1,1,1,1
CAF,0,0,1,1,1,1,1,0,1,1,1,0,0,1
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHL,1,0,1,1,1,1,1,0,1,1,1,1,1,1
CHN,1,1,1,1,1,1,1,0,1,1,1,0,0,1
CIV,1,1,1,1,1,1,1,0,1,1,1,0,0,0
CMR,0,0,1,0,1,1,1,0,0,1,1,0,0,0
COD,1,0,1,1,1,1,1,1,1,1,1,0,1,0
COG,0,0,1,1,1,1,1,0,0,1,1,0,0,0
COL,1,1,1,1,1,1,1,0,1,1,1,1,0,1
CPV,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRI,1,1,1,1,1,1,1,0,1,1,1,0,1,1
CUB,1,1,1,1,1,1,1,0,1,1,1,1,0,1
CYP,1,1,1,1,1,1,1,1,0,1,1,1,0,1
CZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DJI,1,0,1,1,0,1,1,1,1,1,1,0,0,0
DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DOM,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DZA,1,1,1,1,0,1,1,0,0,1,0,0,1,0
ECU,1,1,1,1,1,1,1,0,1,1,1,1,1,1
EGY,1,0,1,0,0,1,1,0,0,0,0,0,0,0
ERI,1,1,1,1,1,1,1,0,1,1,1,1,1,0
ESP,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ETH,1,1,1,1,1,1,1,0,1,1,1,0,0,0
FIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAB,0,0,1,0,1,1,1,0,0,1,1,0,0,0
GBR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEO,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHA,1,1,1,1,1,1,1,0,1,1,1,1,0,1
GIN,1,1,1,1,1,1,1,1,1,1,1,0,0,0
GMB,1,1,1,1,0,1,1,0,1,1,1,1,1,0
GNB,0,0,1,0,1,0,1,0,1,1,0,0,0,0
GNQ,0,1,1,0,0,0,0,0,1,1,1,1,1,0
GRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTM,1,1,1,1,0,1,1,0,1,1,1,0,1,1
GUY,1,1,1,1,0,1,1,1,0,1,1,1,1,1
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HND,1,1,1,1,1,1,1,1,1,1,1,0,1,0
HRV,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HTI,0,1,1,1,0,1,1,0,0,1,1,1,1,0
HUN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDN,1,0,1,1,0,1,1,0,1,1,1,1,1,0
IND,1,1,1,1,1,1,1,0,1,1,0,1,0,1
IRL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRN,0,0,0,0,0,1,1,0,0,0,1,0,1,0
IRQ,0,0,0,1,0,1,1,0,1,0,0,0,1,0
ISL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISR,1,1,1,1,0,1,1,1,1,1,1,0,0,0
ITA,1,1,1,1,1,1,1,1,1,1,1,1,1,0
JAM,1,1,1,1,1,1,1,0,1,1,1,1,0,1
JOR,0,0,0,0,0,1,1,1,1,0,1,1,0,0
JPN,1,1,1,1,1,1,1,0,1,1,1,0,0,0
KAZ,1,1,1,1,1,1,1,0,1,1,1,0,0,1
KEN,1,1,1,1,1,0,1,0,1,1,1,1,1,1
KGZ,1,1,1,1,1,1,1,1,1,1,1,0,0,1
KHM,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LBN,1,1,1,1,0,1,1,0,1,1,1,1,0,0
LBR,1,1,1,1,1,1,1,0,1,1,1,1,1,1
LKA,1,1,1,1,1,1,1,0,1,1,0,1,0,1
LSO,1,1,1,1,1,1,1,0,1,1,1,1,0,1
MAR,1,1,1,1,0,1,1,1,1,1,1,0,0,0
MDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDG,1,0,1,1,1,1,1,0,0,1,1,0,0,1
MEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MKD,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MLI,0,0,1,1,1,1,1,0,1,1,1,0,0,0
MNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MOZ,1,1,1,1,1,1,1,1,1,1,1,0,1,1
MUS,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MWI,0,1,1,1,1,1,1,0,0,1,1,1,1,1
MYS,0,1,1,1,0,1,1,0,1,0,1,1,0,0
NAM,1,1,1,1,1,1,1,0,0,1,1,1,1,1
NGA,0,1,1,1,1,1,1,0,0,1,1,1,0,1
NIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NPL,0,1,1,1,1,1,1,0,1,1,1,1,1,1
PAK,1,1,1,1,0,1,1,0,0,1,0,1,0,0
PAN,1,1,1,1,1,1,1,0,1,1,1,0,1,0
PER,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PHL,1,1,1,1,0,1,1,1,0,1,1,1,1,0
POL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSE,0,1,0,0,0,1,1,0,1,0,0,0,0,0
ROU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RUS,1,1,1,1,1,1,1,0,1,1,1,0,0,1
RWA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SEN,0,0,1,1,1,1,1,0,1,1,1,0,0,0
SLV,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SOM,0,0,1,1,0,1,1,0,1,1,0,1,0,0
SWZ,1,0,1,0,0,0,0,0,1,1,1,1,0,0
SYC,1,1,1,1,1,1,1,0,0,1,1,1,1,1
TGO,1,1,1,1,1,1,1,0,1,1,1,1,1,0
THA,1,1,1,1,1,1,1,0,1,1,1,1,0,0
TJK,1,1,1,1,1,1,1,1,1,1,1,0,0,1
TKM,0,1,1,0,0,1,1,0,1,0,0,0,0,0
TTO,1,1,1,1,0,1,1,1,0,1,1,1,1,1
TUN,1,0,1,1,1,1,1,0,1,1,0,1,0,0
TUR,1,1,1,1,1,1,1,0,1,1,1,1,0,0
TZA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
UGA,0,1,1,1,0,1,1,0,1,1,1,1,1,1
UKR,1,1,1,1,1,1,1,1,1,1,0,0,0,1
URY,1,1,1,1,1,1,1,0,1,1,1,1,0,0
UZB,1,1,1,1,1,1,1,1,1,1,1,0,0,1
VEN,1,1,1,1,1,1,1,0,1,1,1,1,1,1
VNM,1,1,1,1,1,1,1,1,1,1,1,1,0,1
YEM,0,0,1,0,0,1,1,0,0,0,0,0,1,0
ZAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZMB,1,1,1,1,0,1,1,1,0,1,1,1,1,1
ZWE,1,1,1,1,0,1,1,1,1,1,1,1,1,1
