Country_Code,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no)
MAR,1,1,1,1,0,1,1,1,1,1,1,0,0,0
ABW,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,
AFG,0,1,1,1,0,1,1,0,1,0,0,0,0,0
AFW,,,,,,,,,,,,,,
AGO,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ALB,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,
ARE,1,1,1,1,0,1,1,1,1,1,1,1,1,0
ARG,1,1,1,1,1,1,1,0,1,1,1,0,0,1
ARM,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ASM,,,,,,,,,,,,,,
ATG,0,1,1,1,1,1,1,0,1,1,1,1,1,1
AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AZE,1,1,1,1,1,1,1,1,1,1,0,0,0,1
BDI,1,0,1,1,1,1,1,0,1,1,1,1,1,0
BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEN,0,1,1,1,1,1,1,0,1,1,1,0,0,0
BFA,0,1,1,1,1,1,1,1,1,1,1,0,0,0
BGD,1,1,1,1,0,1,1,0,1,1,1,0,0,0
BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BHR,0,1,1,0,0,1,1,1,1,0,0,1,0,0
BHS,1,1,1,1,0,1,1,0,1,1,1,1,1,1
BIH,1,1,1,1,1,1,1,1,1,1,0,1,0,1
BLR,1,1,1,1,1,1,1,0,1,1,1,0,0,1
BLZ,1,1,1,1,1,1,1,0,0,1,1,1,0,1
BMU,,,,,,,,,,,,,,
BOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
BRB,1,1,1,1,1,1,1,0,0,1,1,1,0,1
BRN,0,1,1,1,0,1,1,0,1,0,1,1,1,0
BTN,1,1,1,1,0,1,1,0,1,1,1,1,1,1
BWA,1,1,1,1,1,1,1,0,0,1,1,1,1,1
CAF,0,0,1,1,1,1,1,0,1,1,1,0,0,1
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CEB,,,,,,,,,,,,,,
CHE,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHI,,,,,,,,,,,,,,
CHL,1,0,1,1,1,1,1,0,1,1,1,1,1,1
CHN,1,1,1,1,1,1,1,0,1,1,1,0,0,1
CIV,1,1,1,1,1,1,1,0,1,1,1,0,0,0
CMR,0,0,1,0,1,1,1,0,0,1,1,0,0,0
COD,1,0,1,1,1,1,1,1,1,1,1,0,1,0
COG,0,0,1,1,1,1,1,0,0,1,1,0,0,0
COL,1,1,1,1,1,1,1,0,1,1,1,1,0,1
COM,0,0,1,0,0,1,1,0,1,1,1,1,1,0
CPV,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRI,1,1,1,1,1,1,1,0,1,1,1,0,1,1
CSS,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,
CYP,1,1,1,1,1,1,1,1,0,1,1,1,0,1
CZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DJI,1,0,1,1,0,1,1,1,1,1,1,0,0,0
DMA,1,1,1,1,1,1,1,0,0,1,1,1,0,1
DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DOM,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DZA,1,1,1,1,0,1,1,0,0,1,0,0,1,0
EAP,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,
EAS,,,,,,,,,,,,,,
ECA,,,,,,,,,,,,,,
ECS,,,,,,,,,,,,,,
ECU,1,1,1,1,1,1,1,0,1,1,1,1,1,1
EGY,1,0,1,0,0,1,1,0,0,0,0,0,0,0
EMU,,,,,,,,,,,,,,
ERI,1,1,1,1,1,1,1,0,1,1,1,1,1,0
ESP,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EST,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ETH,1,1,1,1,1,1,1,0,1,1,1,0,0,0
EUU,,,,,,,,,,,,,,
FCS,,,,,,,,,,,,,,
FIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FJI,1,1,1,1,1,1,1,0,1,1,1,1,0,1
FRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRO,,,,,,,,,,,,,,
FSM,1,1,1,1,1,1,1,0,1,1,1,1,1,1
GAB,0,0,1,0,1,1,1,0,0,1,1,0,0,0
GBR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEO,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHA,1,1,1,1,1,1,1,0,1,1,1,1,0,1
GIB,,,,,,,,,,,,,,
GIN,1,1,1,1,1,1,1,1,1,1,1,0,0,0
GMB,1,1,1,1,0,1,1,0,1,1,1,1,1,0
GNB,0,0,1,0,1,0,1,0,1,1,0,0,0,0
GNQ,0,1,1,0,0,0,0,0,1,1,1,1,1,0
GRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRD,1,1,1,1,1,1,1,0,1,1,1,1,1,1
GRL,,,,,,,,,,,,,,
